"","SRR1178009","SRR1178010","SRR1178050","SRR1178061","SRR1178063"
"NM_001000081",1.74387308053323,1.59147415726717,9.64521960172906,8.23118905550411,7.11609848936523
"NM_001000121",92.4252732682613,20.6891640444733,35.3658052063399,132.933703246391,75.5401224255694
"NM_001000750",36.6213346911979,112.994665165969,205.764684836887,157.215710960129,236.473426723521
"NM_001001504",3424.96673016727,1381.39956850791,779.655251139765,589.353136374094,746.642949191859
"NM_001001505",4989.22088340558,4029.61256620049,6264.57013132302,8136.11882191304,6553.92670870538
"NM_001001507",1653.1916803455,1920.90930782148,892.182813159938,925.597209291437,832.583523255732
"NM_001001509",2598.37088999452,3849.7759864293,6910.79984463887,15000.1073752979,10987.8034597714
"NM_001001511",212.752515825054,482.216669651954,149.5009038268,254.343741815077,108.383653914947
"NM_001001512",3283.71301064408,3068.36217521111,4467.34421220084,4680.25409695964,4767.7859878747
"NM_001001513",200.545404261322,222.806382017404,229.877733841209,283.564462962117,266.579997255451
"NM_001001515",594.660720461832,281.69092583629,417.959516074926,489.755748802495,638.259295276912
"NM_001001517",1436.95141835938,1327.28944716082,1602.71399048731,1338.80289987774,1290.75078753255
"NM_001001718",462.126366341307,528.369420212702,548.169980698268,500.867854027425,473.494245638533
"NM_001001719",19.1826038858656,9.54884494360305,93.2371228167142,87.2506039883436,129.731949383043
"NM_001001720",118.58336947626,143.232674154046,99.6672692178669,90.9546390633204,95.2462413191961
"NM_001001799",3.48774616106646,6.3658966290687,9.64521960172906,2.05779726387603,7.66349068085486
"NM_001001800",608.611705106098,474.259298865618,1056.15154638933,928.478125460864,948.630667851534
"NM_001001801",190.082165778122,105.037294379634,78.7692934141206,102.889863193801,77.1822990000383
"NM_001001934",12.2071115637326,9.54884494360305,19.2904392034581,7.81962960272891,9.30566725532376
"NM_001002016",2896.5731867657,2434.95546061878,2390.40692462852,1957.78831685165,2396.48301434161
"NM_001002022",1871.17581541216,1941.59847186595,1224.94288941959,1445.39679814652,1406.25053993687
"NM_001002253",547.576147287435,622.266395491465,770.010031538036,667.960991854159,786.602579170603
"NM_001002277",191.826038858656,171.879208984855,184.86670903314,171.620291807261,162.028088680931
"NM_001002278",331.335885301314,381.953797744122,380.986174268298,465.885300541533,534.802171085371
"NM_001002279",312.153281415449,238.721123590076,208.979758037463,222.653663951386,241.399956446928
"NM_001002289",285.99518520745,455.161608978412,332.760076259652,353.529569933902,301.613097510788
"NM_001002798",545.832274206902,574.52217077345,622.116664311524,718.994363998284,612.531862276899
"NM_001002802",95.9130194293278,198.934269658397,170.398879630547,193.021383351571,201.987718659675
"NM_001002804",2589.65152459185,3179.76536621981,2440.24055923745,2383.34079102122,2140.30346872446
"NM_001002805",3224.42132590595,3526.70673250406,884.145130158497,1102.56777398478,805.76130587274
"NM_001002807",366.213346911979,585.66248987432,348.835442262534,449.422922430525,413.828496766163
