"","SRR1178009","SRR1178010","SRR1178050","SRR1178061","SRR1178063"
"81",1.74387308053323,1.59147415726717,9.64521960172906,8.23118905550411,7.11609848936523
"119",92.4252732682613,20.6891640444733,35.3658052063399,132.933703246391,75.5401224255694
"732",36.6213346911979,112.994665165969,205.764684836887,157.215710960129,236.473426723521
"1158",3424.96673016727,1381.39956850791,779.655251139765,589.353136374094,746.642949191859
"1159",4989.22088340558,4029.61256620049,6264.57013132302,8136.11882191304,6553.92670870538
"1161",1653.1916803455,1920.90930782148,892.182813159938,925.597209291437,832.583523255732
"1163",2598.37088999452,3849.7759864293,6910.79984463887,15000.1073752979,10987.8034597714
"1165",212.752515825054,482.216669651954,149.5009038268,254.343741815077,108.383653914947
"1166",3283.71301064408,3068.36217521111,4467.34421220084,4680.25409695964,4767.7859878747
"1167",200.545404261322,222.806382017404,229.877733841209,283.564462962117,266.579997255451
"1169",594.660720461832,281.69092583629,417.959516074926,489.755748802495,638.259295276912
"1171",1436.95141835938,1327.28944716082,1602.71399048731,1338.80289987774,1290.75078753255
"1174",462.126366341307,528.369420212702,548.169980698268,500.867854027425,473.494245638533
"1175",19.1826038858656,9.54884494360305,93.2371228167142,87.2506039883436,129.731949383043
"1176",118.58336947626,143.232674154046,99.6672692178669,90.9546390633204,95.2462413191961
"1177",3.48774616106646,6.3658966290687,9.64521960172906,2.05779726387603,7.66349068085486
"1178",608.611705106098,474.259298865618,1056.15154638933,928.478125460864,948.630667851534
"1179",190.082165778122,105.037294379634,78.7692934141206,102.889863193801,77.1822990000383
"1180",12.2071115637326,9.54884494360305,19.2904392034581,7.81962960272891,9.30566725532376
"1184",2896.5731867657,2434.95546061878,2390.40692462852,1957.78831685165,2396.48301434161
"1185",1871.17581541216,1941.59847186595,1224.94288941959,1445.39679814652,1406.25053993687
"1187",547.576147287435,622.266395491465,770.010031538036,667.960991854159,786.602579170603
"1189",191.826038858656,171.879208984855,184.86670903314,171.620291807261,162.028088680931
"1190",331.335885301314,381.953797744122,380.986174268298,465.885300541533,534.802171085371
"1191",312.153281415449,238.721123590076,208.979758037463,222.653663951386,241.399956446928
