"","SRR1177981","SRR1177982","SRR1177983","SRR1178050","SRR1178061","SRR1178063"
"NM_001000081",11.7530629291406,11.9140784452103,6.30722969659053,8.50319163169083,7.26192793119856,6.29359917982511
"NM_001000121",70.5183775748437,165.307838427293,225.483461653111,31.1783693161997,117.280136088857,66.8089759089127
"NM_001000503",3.35801797975446,7.44629902825645,6.30722969659053,5.66879442112722,2.90477117247942,4.84123013832701
"NM_001000750",162.863872018091,102.758926589939,61.4954895417577,181.401421476071,138.702823485892,209.141141975727
"NM_001000913",21.827116868404,4.46777941695387,9.4608445448858,8.50319163169083,24.6905549660751,6.29359917982511
"NM_001001110",6.71603595950893,5.95703922260516,1.57680742414763,2.83439721056361,2.17857837935957,2.9047380829962
"NM_001001504",538.961885750591,478.052397614064,439.92927133719,687.341323561675,519.954039873817,660.343790867803
"NM_001001505",5913.46966234761,7580.33241076506,6567.40292157489,5522.82296478319,7178.05266359321,5796.40484461892
"NM_001001507",1051.05962766315,650.806535069613,723.754607683763,786.545225931401,816.603795863278,736.351104039538
"NM_001001509",3774.41220924402,7569.9075921255,3779.60739568188,6092.53680410648,13233.7743654197,9717.8012566638
"NM_001001511",263.604411410725,193.603774734668,230.213883925554,131.799470291208,224.393573074035,95.8563567388747
"NM_001001512",4064.88076449278,4348.63863250176,4304.68426792304,3938.39492407813,4129.1322216795,4216.71145048282
"NM_001001513",166.221889997846,217.431931625088,190.793698321864,202.659400555298,250.17341722979,235.767907736525
"NM_001001515",308.937654137411,470.606098585807,543.998561330933,368.471637373269,432.084711906314,564.487434128929
"NM_001001517",1618.56466624165,1390.9686584783,1296.13570264935,1412.94700946596,1181.15257800945,1141.56206661751
"NM_001001718",458.369454236484,455.713500529294,367.396129826398,483.264724401095,441.888314613432,418.766406965286
"NM_001001719",159.505854038337,174.243397261201,102.492482569596,82.1975191063446,76.9764360707047,114.73715427835
"NM_001001720",109.13558434202,117.651524646452,102.492482569596,87.8663135274719,80.2443036397441,84.2374044068899
"NM_001001799",10.0740539392634,11.9140784452103,12.6144593931811,8.50319163169083,1.81548198279964,6.77772219365781
"NM_001001800",721.97386564721,772.925839133019,849.899201615574,931.099483670145,819.145470639197,838.98518297207
"NM_001001801",67.1603595950893,46.16705397519,80.4171786315293,69.4427316588084,90.774099139982,68.2613449504108
"NM_001002016",1910.71223048029,1961.35516404275,1907.93698321864,2107.37432605404,1727.24955843558,2119.49055455956
"NM_001002022",1150.1211580659,1192.89710432668,1374.97607385674,1079.90533722473,1275.19454471847,1243.71202253621
"NM_001002253",498.665669993538,421.460524999315,468.311804971847,678.838131929984,589.305451616763,695.684770877591
"NM_001002277",176.295943937109,139.990421731221,186.063276049421,162.977839607408,151.41119736549,143.300412094479
"NM_001002278",283.752519289252,408.057186748453,439.92927133719,335.876069451788,411.025120905838,472.988184514548
"NM_001002279",214.913150704286,262.109725794627,238.097921046293,184.235818686635,196.435150538921,213.498249100221
"NM_001002289",354.270896864096,242.74934832116,275.941299225836,293.360111293333,311.899804644978,266.751780621818
"NM_001002798",500.344678983415,540.601309451418,454.120538154518,548.455860244058,634.329404790194,541.733652478792
